채널,매출액,주문수,예상광고비,ROAS,CPA
TICTOK,546000,15,652.1032090199479,83729.07730673316,43.47354726799653
기타,66934800,1864,81034.69210754553,82600.1780955337,43.47354726799653
네이버,6113800,175,7607.870771899393,80361.51221945137,43.47354726799653
네이버블로그,156800,5,217.36773633998263,72135.82044887781,43.47354726799652
네이버카페,217600,9,391.2619254119688,55614.91825990579,43.47354726799653
다음,63900,2,86.94709453599306,73492.96758104739,43.47354726799653
사파리,213700,8,347.78837814397224,61445.4114713217,43.47354726799653
인스타그램,70591100,1937,84208.26105810929,83829.18624965721,43.47354726799654
카카오스토리,44900,2,86.94709453599306,51640.59850374065,43.47354726799653
카카오톡,157192300,4619,200804.31483087598,78281.33580316366,43.47354726799653
크롬,23013200,574,24953.816131830008,92223.1689070008,43.47354726799653
페이스북,327100,14,608.6296617519515,53743.683648022794,43.47354726799654
